ntaxa,rep,ils,ngt,m,avg_gtee,norm_output_error,output_hwcd
100,15,high,1000,10,0.5867244897959136,0.10476190476190476,22.0
50,15,high,100,10,0.35916666666666663,0.2786885245901639,34.0
50,15,high,100,20,0.36687500000000023,0.29508196721311475,36.0
50,19,high,100,20,0.3716666666666665,0.15517241379310345,18.0
50,2,low,3000,20,0.0306527777777777,0.034482758620689655,4.0
50,4,low,3000,20,0.03924999999999988,0.0,0.0
100,2,low,3000,20,0.03314285714285654,0.10569105691056911,26.0
50,11,high,1000,20,0.2798333333333334,0.0,0.0
100,9,low,100,20,0.03408163265306121,0.0,0.0
100,9,low,1000,10,0.03588775510204091,0.00980392156862745,2.0
100,18,low,1000,20,0.03027551020408173,0.05263157894736842,12.0
100,9,low,1000,20,0.034918367346938865,0.00980392156862745,2.0
100,9,high,100,10,0.4736734693877548,0.10784313725490197,22.0
100,9,high,100,20,0.4762244897959183,0.1568627450980392,32.0
100,10,low,100,20,0.02999999999999998,0.0,0.0
100,10,low,1000,20,0.03314285714285728,0.0,0.0
50,12,high,100,20,0.35229166666666667,0.29310344827586204,34.0
100,10,high,100,10,0.4049999999999998,0.1111111111111111,24.0
100,10,high,100,20,0.4053061224489793,0.3333333333333333,72.0
100,10,high,1000,20,0.40086734693877746,0.12962962962962962,28.0
50,12,low,100,20,0.035833333333333335,0.13793103448275862,16.0
50,13,low,1000,20,0.0346666666666666,0.0,0.0
50,18,low,100,20,0.03583333333333333,0.0,0.0
50,18,low,1000,20,0.03875000000000002,0.0,0.0
50,13,high,1000,20,0.33220833333333344,0.057692307692307696,6.0
100,14,low,100,20,0.03602040816326529,0.05405405405405406,12.0
100,13,low,100,20,0.03081632653061223,0.0,0.0
100,20,low,1000,10,0.03398979591836744,0.009009009009009009,2.0
100,18,high,100,20,0.40918367346938767,0.15789473684210525,36.0
200,20,low,100,20,0.03489898989898988,0.018691588785046728,8.0
200,1,low,1000,20,0.03729292929292985,0.06639004149377593,32.0
200,20,low,100,10,0.03409090909090907,0.037383177570093455,16.0
200,20,low,1000,20,0.03440909090909142,0.009345794392523364,4.0
50,17,high,1000,10,0.4928333333333336,0.057692307692307696,6.0
50,16,low,100,20,0.03354166666666667,0.038461538461538464,4.0
50,16,low,1000,20,0.035729166666666666,0.038461538461538464,4.0
200,20,low,3000,10,0.03370707070707151,0.07476635514018691,32.0
50,19,low,100,20,0.03708333333333335,0.034482758620689655,4.0
200,20,low,3000,20,0.033749158249159056,0.0,0.0
50,20,low,100,20,0.035625,0.01818181818181818,2.0
50,12,low,1000,20,0.03577083333333326,0.017241379310344827,2.0
50,16,high,1000,20,0.41535416666666636,0.057692307692307696,6.0
50,14,low,100,20,0.03937500000000002,0.01818181818181818,2.0
50,14,low,1000,20,0.03741666666666662,0.01818181818181818,2.0
50,15,low,1000,20,0.04020833333333331,0.01639344262295082,2.0
50,17,low,1000,20,0.032249999999999945,0.0,0.0
200,1,high,1000,20,0.5192323232323222,0.22821576763485477,110.0
100,14,low,100,10,0.03285714285714286,0.05405405405405406,12.0
50,13,low,100,20,0.036250000000000004,0.0,0.0
50,17,high,100,20,0.509375,0.1346153846153846,14.0
50,14,high,100,20,0.3439583333333335,0.16363636363636364,18.0
100,15,low,100,20,0.033163265306122444,0.0,0.0
100,14,high,100,10,0.3510204081632655,0.2072072072072072,46.0
