ntaxa,rep,ils,ngt,m,snaq_runtime_sum,snaq_runtime_serial,inphynet_runtime,nretic_true,nretic_est,rooted_major_hwcd,unrooted_major_hwcd,rooted_hwcd,unrooted_hwcd,rooted_min_greedy_hwcd,unrooted_min_greedy_hwcd,sum_constraint_hwcd,sum_constraint_retics,perfect_infer_unrooted_hwcd,min_unrooted_nj_hwcd,n_constraints,approx_norm_hwcd,min_greedy_approx_norm_hwcd,approx_norm_input_hwcd,approx_norm_nj_hwcd
50,9,low,1000,20,45379.07774114609,7872.735548019409,12.272226751,3,4,0,0,8,6,4,4,4,4,4,0,4,0.05172413793103448,0.034482758620689655,0.0392156862745098,0.0
50,9,high,100,10,5713.14735865593,356.31172704696655,12.931542904,3,4,14,14,34,30,30,26,24,4,10,12,6,0.25862068965517243,0.22413793103448276,0.39166666666666666,0.125
50,9,high,100,20,21106.91115140915,1852.7336490154266,13.219744654,3,3,14,14,22,18,22,18,16,3,6,12,4,0.15517241379310345,0.15517241379310345,0.29166666666666663,0.125
50,9,high,1000,20,52417.919373989105,5045.165199041367,12.343756611,3,3,0,0,24,24,24,24,12,3,10,0,3,0.20689655172413793,0.20689655172413793,0.11764705882352941,0.0
50,10,low,100,20,14121.737826347351,1596.2516248226166,12.599659612,3,3,0,0,14,4,14,4,0,3,4,2,4,0.034482758620689655,0.034482758620689655,0.020833333333333332,0.020833333333333332
50,10,low,1000,20,21207.911099910736,3376.6497910022736,12.258245126,3,3,0,0,0,0,0,0,0,3,0,4,4,0.0,0.0,0.041666666666666664,0.041666666666666664
50,10,high,100,10,7555.1830098629,857.1296000480652,12.523894214,3,3,6,6,32,26,32,26,10,3,20,8,5,0.22413793103448276,0.22413793103448276,0.19444444444444442,0.08333333333333333
50,10,high,100,20,26019.57831311226,2724.607831954956,12.577785938,3,3,10,10,48,38,48,38,14,3,16,10,4,0.3275862068965517,0.3275862068965517,0.25,0.10416666666666667
50,10,high,1000,20,191772.67329239845,53086.898226976395,12.193269307,3,3,4,4,26,18,26,18,8,3,10,4,3,0.15517241379310345,0.15517241379310345,0.12009803921568626,0.041666666666666664
100,1,low,100,10,43475.046667575836,5291.671442985535,12.509735004,7,8,6,6,36,30,28,22,6,8,20,2,12,0.125,0.09166666666666666,0.043911946801192384,0.01020408163265306
100,1,low,100,20,249117.4752049446,12246.331028223038,11.64559837,7,8,2,2,16,10,14,8,8,8,10,6,8,0.041666666666666664,0.03333333333333333,0.07021620529399879,0.030612244897959183
100,1,low,1000,20,341333.50923514366,28201.767472982407,11.400968201,7,7,8,8,20,16,20,16,4,7,8,4,8,0.06666666666666667,0.06666666666666667,0.04081632653061224,0.02040816326530612
