ntaxa,rep,ils,ngt,m,ncores,runtime
50,3,high,100,20,4,10244.093866109848
50,3,high,100,20,5,9187.117918014526
50,3,high,100,20,6,8704.261191606522
50,3,high,100,20,7,8282.056817770004
50,3,high,100,20,8,8006.542582988739
50,3,high,100,20,9,7768.122923135757
50,3,high,100,20,10,7593.085246801376
50,3,high,100,20,11,7266.105931758881
50,3,high,100,20,12,7121.389883995056
50,3,high,100,20,13,6971.3894901275635
50,3,high,100,20,14,6863.4261338710785
50,3,high,100,20,15,6804.369464874268
50,3,high,100,20,16,6743.08731007576
50,3,high,100,20,17,6717.9539749622345
50,3,high,100,20,18,6688.92343211174
50,3,high,100,20,19,6615.732187986374
50,3,high,100,20,20,6592.428886890411
50,3,high,100,20,21,6552.510989904404
50,3,high,100,20,22,6549.212816953659
50,3,high,100,20,23,6517.714887857437
50,3,high,100,20,24,6466.613031864166
50,3,high,100,20,25,6465.652946949005
50,3,high,100,20,26,6463.900568962097
50,3,high,100,20,27,6454.835485935211
50,3,high,100,20,28,6436.368829011917
50,3,high,100,20,29,6427.100212097168
50,3,high,100,20,30,6408.296288967133
50,3,high,100,20,31,6403.73362994194
50,3,high,100,20,32,6403.379235982895
50,3,high,1000,10,1,5316.572336673737
50,3,high,1000,10,2,2711.6133332252502
50,3,high,1000,10,3,1823.1517136096954
50,3,high,1000,10,4,1387.5316879749298
50,3,high,1000,10,5,1114.6169784069061
50,3,high,1000,10,6,943.7835257053375
50,3,high,1000,10,7,816.1679611206055
50,3,high,1000,10,8,726.5017945766449
50,3,high,1000,10,9,644.2862505912781
50,3,high,1000,10,10,593.7521045207977
50,3,high,1000,10,11,551.0634064674377
50,3,high,1000,10,12,511.8123927116394
50,3,high,1000,10,13,483.1387288570404
50,3,high,1000,10,14,460.5117757320404
50,3,high,1000,10,15,434.4801878929138
50,3,high,1000,10,16,420.90488386154175
50,3,high,1000,10,17,413.52367210388184
50,3,high,1000,10,18,399.29729080200195
50,3,high,1000,10,19,381.93503069877625
50,3,high,1000,10,20,363.23726081848145
50,3,high,1000,10,21,338.1033248901367
50,3,high,1000,10,22,333.1093738079071
50,3,high,1000,10,23,328.1016879081726
50,3,high,1000,10,24,315.8095829486847
50,3,high,1000,10,25,313.5141429901123
50,3,high,1000,10,26,310.3442907333374
50,3,high,1000,10,27,305.4357409477234
50,3,high,1000,10,28,304.7302577495575
50,3,high,1000,10,29,304.36597990989685
50,3,high,1000,10,30,303.22746205329895
50,3,high,1000,10,31,299.14367604255676
50,3,high,1000,10,32,297.5014398097992
50,3,high,1000,20,1,79730.3675801754
50,3,high,1000,20,2,41192.1663441658
50,3,high,1000,20,3,28540.132431030273
50,3,high,1000,20,4,24051.981142520905
50,3,high,1000,20,5,21233.38930273056
50,3,high,1000,20,6,19495.112404584885
50,3,high,1000,20,7,18937.046454191208
50,3,high,1000,20,8,18446.454377889633
50,3,high,1000,20,9,18009.264361858368
50,3,high,1000,20,10,17030.24976181984
50,3,high,1000,20,11,16743.750601768494
50,3,high,1000,20,12,16316.334821939468
50,3,high,1000,20,13,16217.620002746582
50,3,high,1000,20,14,15950.739010810852
50,3,high,1000,20,15,15587.987179756165
50,3,high,1000,20,16,15321.106187820435
50,3,high,1000,20,17,15313.15018606186
50,3,high,1000,20,18,15311.118121862411
50,3,high,1000,20,19,15294.022813796997
50,3,high,1000,20,20,15280.07378077507
50,3,high,1000,20,21,15160.678161859512
50,3,high,1000,20,22,15160.678161859512
50,3,high,1000,20,23,15160.678161859512
50,3,high,1000,20,24,15160.678161859512
50,3,high,1000,20,25,15160.678161859512
50,3,high,1000,20,26,15160.678161859512
50,3,high,1000,20,27,15160.678161859512
50,3,high,1000,20,28,15160.678161859512
50,3,high,1000,20,29,15160.678161859512
50,3,high,1000,20,30,15160.678161859512
50,3,high,1000,20,31,15160.678161859512
50,3,high,1000,20,32,15160.678161859512
50,4,low,100,20,1,8834.599311590195
50,4,low,100,20,2,4471.966176271439
50,4,low,100,20,3,3141.8516499996185
50,4,low,100,20,4,2404.508109331131
50,4,low,100,20,5,1985.446567773819
50,4,low,100,20,6,1702.5759789943695
50,4,low,100,20,7,1460.399493932724
50,4,low,100,20,8,1340.1491289138794
50,4,low,100,20,9,1242.8290839195251
50,4,low,100,20,10,1183.6297855377197
50,4,low,100,20,11,1067.8932881355286
50,4,low,100,20,12,970.7275378704071
50,4,low,100,20,13,924.5043041706085
50,4,low,100,20,14,883.4251668453217
50,4,low,100,20,15,863.4238791465759
50,4,low,100,20,16,791.8516101837158
50,4,low,100,20,17,762.7270419597626
50,4,low,100,20,18,747.2502171993256
50,4,low,100,20,19,731.5687549114227
50,4,low,100,20,20,690.9518139362335
50,4,low,100,20,21,686.0742499828339
50,4,low,100,20,22,628.1079440116882
50,4,low,100,20,23,622.2261440753937
50,4,low,100,20,24,618.0461728572845
50,4,low,100,20,25,611.3609218597412
50,4,low,100,20,26,601.2284760475159
50,4,low,100,20,27,595.0894937515259
50,4,low,100,20,28,594.5081448554993
50,4,low,100,20,29,579.3502838611603
50,4,low,100,20,30,565.3653740882874
50,4,low,100,20,31,561.1078069210052
50,4,low,100,20,32,560.7469580173492
50,4,low,1000,20,1,9252.329275846481
50,4,low,1000,20,2,4752.65882229805
50,4,low,1000,20,3,3251.7734413146973
50,4,low,1000,20,4,2516.6063163280487
50,4,low,1000,20,5,2012.5935060977936
50,4,low,1000,20,6,1721.1378259658813
