ntaxa,rep,ils,m,inphynet_runtime,nretic_true,nretic_est,unrooted_major_hwcd,unrooted_hwcd,min_greedy_hwcd,is_greedy_rooted,min_unrooted_nj_hwcd,misplaced_retics
50,24,low,20,0.006084932,1,1,0.0,0,0,false,0,0
50,24,low,30,0.006150811,1,1,0.0,0,0,false,0,0
50,24,high,10,0.006973535,1,1,0.0,0,0,false,0,0
50,24,high,20,0.006086797,1,1,0.0,0,0,false,0,0
50,24,high,30,0.006149944,1,1,0.0,0,0,false,0,0
50,25,low,10,0.007241731,3,3,0.0,0,0,false,0,0
50,25,low,20,0.00708892,3,3,0.0,0,0,false,0,0
50,25,low,30,0.006856278,3,3,0.0,0,0,false,0,0
50,25,high,20,0.006494054,3,3,0.0,0,0,false,0,0
50,25,high,30,0.006665385,3,3,0.0,0,0,false,0,0
50,26,low,20,0.006161338,2,2,0.0,0,0,false,0,0
50,26,low,30,0.006283685,2,2,0.0,0,0,false,0,0
50,26,high,20,0.006096157,2,2,0.0,0,0,false,0,0
50,26,high,30,0.006623374,2,2,0.0,0,0,false,0,0
50,27,low,10,0.007016599,3,3,0.0,0,0,false,0,0
50,27,low,20,0.006926193,3,3,0.0,0,0,false,0,0
50,27,low,30,0.006818357,3,3,0.0,0,0,false,0,0
50,27,high,10,0.007147961,3,3,0.0,0,0,false,0,0
50,27,high,20,0.006664132,3,3,0.0,0,0,false,0,0
50,27,high,30,0.006750722,3,3,0.0,0,0,false,0,0
50,28,low,10,0.006199164,1,1,0.0,0,0,false,0,0
50,28,low,20,0.005889017,1,1,0.0,0,0,false,0,0
50,28,low,30,0.006020147,1,1,0.0,0,0,false,0,0
50,28,high,10,0.006224584,1,1,0.0,0,0,false,0,0
50,28,high,20,0.00590931,1,1,0.0,0,0,false,0,0
50,28,high,30,0.005803822,1,1,0.0,0,0,false,0,0
50,29,low,10,0.006198206,0,0,0.0,0,0,false,0,0
50,29,low,20,0.005631736,0,0,0.0,0,0,false,0,0
50,29,low,30,0.005736408,0,0,0.0,0,0,false,0,0
50,29,high,10,0.006325221,0,0,0.0,0,0,false,0,0
50,29,high,20,0.006066655,0,0,0.0,0,0,false,0,0
50,29,high,30,0.005635094,0,0,0.0,0,0,false,0,0
50,30,low,10,0.006239082,0,0,0.0,0,0,false,0,0
50,30,low,20,0.005598371,0,0,0.0,0,0,false,0,0
50,30,low,30,0.022984515,0,0,0.0,0,0,false,0,0
50,30,high,10,0.005751632,0,0,0.0,0,0,false,0,0
50,30,high,20,0.005442423,0,0,0.0,0,0,false,0,0
50,30,high,30,0.005373597,0,0,0.0,0,0,false,0,0
50,31,low,10,0.006645598,0,0,0.0,0,0,false,0,0
50,31,low,20,0.00589545,0,0,0.0,0,0,false,0,0
50,31,low,30,0.005712553,0,0,0.0,0,0,false,0,0
50,31,high,10,0.006005855,0,0,0.0,0,0,false,0,0
50,31,high,20,0.005443841,0,0,0.0,0,0,false,0,0
50,31,high,30,0.005582211,0,0,0.0,0,0,false,0,0
50,32,low,10,0.006467813,1,1,0.0,0,0,false,0,0
50,32,low,20,0.005926682,1,1,0.0,0,0,false,0,0
50,32,low,30,0.005922323,1,1,0.0,0,0,false,0,0
50,32,high,10,0.006427964,1,1,0.0,0,0,false,0,0
50,32,high,20,0.00591477,1,1,0.0,0,0,false,0,0
50,32,high,30,0.006024371,1,1,0.0,0,0,false,0,0
50,34,low,10,0.229444154,1,1,0.0,0,0,false,0,0
50,34,low,20,0.007157472,1,1,0.0,0,0,false,0,0
50,34,low,30,0.006629539,1,1,0.0,0,0,false,0,0
50,34,high,10,0.006563666,1,1,0.0,0,0,false,0,0
50,34,high,20,0.006808048,1,1,0.0,0,0,false,0,0
50,34,high,30,0.006801299,1,1,0.0,0,0,false,0,0
50,35,low,10,0.007117927,1,1,0.0,0,0,false,0,0
50,35,low,20,0.00657556,1,1,0.0,0,0,false,0,0
