ntaxa,ngt,ils,nbp,m,r,imethod,gtee,hwcd,input_error,runtime_parallel,runtime_serial
25,1000,high,100,10,10,snaq,0.383636363636364,10,12,15313.1796422005,15617.3668122292
25,1000,high,100,20,1,snaq,0.370772727272727,14,26,7872.18929195404,9806.1793589592
25,1000,high,100,20,5,phylonet,0.4015,6,10,24020.543395134,24358.826918134
25,1000,high,100,20,5,snaq,0.4015,6,10,15325.3505239487,15600.5013170242
25,1000,high,1000,10,1,phylonet,0.818181818181818,38,52,110.626967846603,306.639532846603
25,1000,high,1000,10,1,squirrel,0.818181818181818,44,54,15.680586732924,15.9939131364226
25,1000,high,1000,10,2,squirrel,0.0647272727272727,40,44,15.22901077196,15.5430721193552
25,1000,high,1000,10,5,snaq,0.0577727272727272,10,12,7919.44931864738,8407.23221564293
25,1000,high,1000,10,6,phylonet,0.0631818181818182,22,16,10535.8954290315,15988.2924720315
25,1000,high,1000,10,7,phylonet,0.0754545454545455,8,10,580.486341917038,870.856852917038
25,1000,high,1000,10,9,phylonet,0.0592272727272727,6,6,113.538096987885,293.257143987884
25,1000,high,1000,10,10,phylonet,0.0691818181818182,4,0,12778.052716957,14172.000112957
25,1000,high,1000,20,1,snaq,0.0546363636363636,16,12,2772.07279872894,4613.01040172577
25,1000,high,1000,20,2,snaq,0.0600909090909091,8,4,3474.12181687355,5985.01061487198
25,1000,high,1000,20,3,phylonet,0.0569090909090909,22,26,2837.28159298425,5002.72517998425
25,1000,high,1000,20,4,snaq,0.0559090909090909,10,12,24582.161413908,24901.0531148911
25,1000,high,1000,20,7,phylonet,0.0557727272727273,14,10,7119.51847810996,8574.08743710995
25,1000,high,1000,20,7,snaq,0.0557727272727273,14,10,4971.71252989769,6471.81517982483
25,1000,high,1000,20,8,phylonet,0.0612727272727272,12,20,7568.39809404839,12074.2921960484
25,1000,high,1000,20,9,phylonet,0.076,6,12,6842.68440907098,8996.46051407098
25,1000,high,1000,20,10,phylonet,0.0730454545454546,12,12,13820.7674410283,17583.2863660283
25,1000,high,100,10,3,squirrel,0.355045454545454,34,34,14.113498069346,14.2441393919289
50,100,low,100,10,1,squirrel,0.280212765957447,62,48,16.9549585804343,17.5194243304431
50,100,low,100,10,2,phylonet,0.26468085106383,12,14,151.048359025116,435.337824025116
50,100,low,100,10,2,squirrel,0.26468085106383,66,38,17.5696383081377,18.0593404956162
50,100,low,100,10,3,squirrel,0.205744680851064,42,30,14.0427880883217,14.3879457339644
50,100,low,100,10,5,phylonet,0.202127659574468,12,12,873.914157983673,1714.63750498367
50,100,low,100,10,5,snaq,0.202127659574468,10,12,736.680016994476,1704.98200893402
50,100,low,100,10,8,phylonet,0.23063829787234,6,14,354.059268036118,668.094860036118
50,100,low,100,10,10,snaq,0.236808510638298,6,10,649.235661745071,1101.44452118874
50,100,low,100,20,5,phylonet,0.219574468085106,26,36,15577.0006720743,25769.1818640743
50,100,low,100,20,7,phylonet,0.233829787234043,6,8,6112.24734019464,9119.86645619464
50,100,low,100,20,8,phylonet,0.21063829787234,12,26,4960.72708489696,8425.21165289696
50,100,low,100,20,9,phylonet,0.222553191489362,10,14,11694.8170349086,23873.1364829086
50,100,low,100,20,10,phylonet,0.199574468085106,4,6,4866.71446199576,7104.35728099576
50,100,low,100,20,10,snaq,0.199574468085106,4,6,53667.8568139076,68803.8231787682
50,100,high,100,10,1,squirrel,0.432978723404255,82,84,20.4198756329715,21.167928494513
50,100,high,100,10,2,squirrel,0.436595744680851,92,98,17.7781460694969,18.4067703261971
50,100,high,100,10,5,phylonet,0.39,52,40,8518.87301897183,12594.0351259718
50,100,high,100,10,6,phylonet,0.950647071726256,68,50,4022.7096820826,6513.6534830826
50,100,high,100,10,6,snaq,0.950647071726256,52,48,2157.2987473011,4222.08864426613
50,100,high,100,10,8,phylonet,0.945531914893617,64,48,4131.93934603281,7633.64555803281
50,100,high,100,10,8,snaq,0.945531914893617,46,48,3252.6344730854,6225.63033914566
50,100,high,100,10,9,phylonet,0.465106382978723,68,68,3716.37207683939,7153.93270283939
50,100,high,100,10,10,phylonet,0.947550717466601,48,52,2007.56693114433,3938.71674614433
50,100,high,100,10,10,snaq,0.947550717466601,56,58,2988.70801615715,5837.00371336937
50,100,high,100,20,3,phylonet,0.416170212765958,46,38,11023.6807970069,23829.7294360069
50,100,high,100,20,4,phylonet,0.418510638297872,48,56,6345.35149496889,16099.0437799689
50,100,high,100,20,4,snaq,0.418510638297872,50,56,5646.66946387291,16477.9198799133
50,100,high,100,20,6,phylonet,0.441063829787234,56,54,5849.20353699814,13476.1076729981
50,100,high,100,20,6,snaq,0.441063829787234,44,56,3883.56240010262,12617.8283510208
50,100,high,100,20,7,phylonet,0.444255319148936,50,64,5363.47326499499,15562.427006995
50,100,high,100,20,8,phylonet,0.938510638297872,36,32,2688.29341313947,5503.21623813947
50,100,high,100,20,8,snaq,0.938510638297872,70,34,6598.07899594307,11714.078895092
50,100,high,100,20,9,snaq,0.357234042553192,44,54,3074.22722482681,10001.1448636055
50,100,high,1000,10,1,squirrel,0.0653191489361702,78,96,20.1679230853915,21.2061390206218
50,100,high,1000,10,2,squirrel,0.0704255319148936,92,106,18.025233168155,18.534187451005
50,100,high,1000,10,3,phylonet,0.0638297872340425,46,48,1470.71426904771,3090.24276804771
50,100,high,1000,10,3,snaq,0.0638297872340425,48,46,1940.60685324669,3929.10973739624
50,100,high,1000,10,4,phylonet,0.0606382978723404,66,46,985.376552993957,2219.46986999396
