ntaxa,rep,std0
200,89,3.9502673510797464
200,90,4.093106378790407
200,91,3.5590794299974564
200,92,4.4458894074822775
200,93,3.9884620938357513
200,94,3.754866484595968
200,95,4.133771847464574
200,96,3.810515144177745
200,97,4.386389690316329
200,98,4.581326780563946
200,99,3.530480695880132
200,100,3.6804642870440247
500,1,4.6383550267295055
500,2,4.158753128427457
500,3,4.308316099007127
500,4,4.03952557274197
500,5,4.13539385645251
500,6,4.097564242977297
500,7,3.9059807302459415
500,8,3.8240644933358188
500,9,3.9367789077207807
500,10,4.030496330248237
500,11,3.952264578750988
500,12,4.104724477233562
500,13,3.855160329656268
500,14,4.301758977557819
500,15,4.4598963240937595
500,16,4.021495472372053
500,17,4.093051473535915
500,18,4.436667679901347
500,19,4.254497677798917
500,20,4.513643966991208
500,21,4.507719788340727
500,22,4.3878133952984175
500,23,4.015621641018594
500,24,3.618037441951285
500,25,4.534385403295125
500,26,4.10749830804781
500,27,4.073905937751035
500,28,4.239961035599858
500,29,3.90818681113639
500,30,4.301746002410413
500,31,4.70338806228288
500,32,4.252313358642088
500,33,4.0819095428592576
500,34,4.169071134828708
500,35,4.052324686021968
500,36,4.227363285524889
500,37,4.10435759854017
500,38,4.082456392621649
500,39,4.489538337331326
500,40,3.9197552750766724
500,41,3.9810773771501275
500,42,4.253569946271903
500,43,3.9153541776375667
500,44,4.429824727881121
500,45,3.978993629169512
500,46,4.123635349536148
500,47,4.589315429115525
500,48,4.110521772092662
500,49,4.215444118645423
500,50,4.435426851139175
500,51,4.1274154339586016
500,52,3.9460675879980363
500,53,3.978661305627245
500,54,4.092216133077037
500,55,4.025506235527147
500,56,5.04745221929596
500,57,4.337712888384411
500,58,4.406014419266523
500,59,3.9765777945702867
500,60,4.337522937302363
500,61,4.287231166335159
500,62,4.263443436163015
500,63,4.3137392980995735
500,64,4.073897992870768
500,65,4.044339700865078
500,66,4.153277869936961
500,67,4.454723396997407
500,68,4.33441122821998
500,69,5.013144807352709
500,70,4.779084553109307
500,71,4.304336846258615
500,72,4.43332899956916
500,73,3.972749587963271
500,74,4.375247640912582
500,75,4.580500491958434
500,76,4.134155561670646
500,77,4.17181146469205
500,78,4.134801776442302
500,79,4.100602467736639
500,80,3.816227179931196
500,81,3.931705479591755
500,82,4.204793219642181
500,83,4.103060842248147
500,84,4.188650264548474
500,85,4.0704790438103196
500,86,4.130271646220317
500,87,4.288780153658302
500,88,4.054065697645095
500,89,4.198733405240858
500,90,4.408291987922588
500,91,4.1076448836205595
500,92,4.495629296058082
500,93,5.261619617011264
500,94,4.128769987478147
500,95,4.220948776330649
500,96,4.389776737825473
500,97,4.414801460304152
500,98,3.8934783929020065
500,99,4.607491016420528
500,100,4.270355409965616
1000,1,4.646552980103174
1000,2,4.855322593806303
1000,3,4.258151176973315
1000,4,4.1411723422806315
1000,5,4.866992346138525
1000,6,4.713362482647797
1000,7,4.466353650792073
1000,8,4.669012597052949
1000,9,4.244132163529327
1000,10,4.663046966695897
1000,11,4.469838945490304
1000,12,4.476138063185516
1000,13,4.339261372023833
1000,14,4.767246936278603
1000,15,4.119980254342177
1000,16,5.05737784265266
1000,17,5.1081952156529065
1000,18,4.198809339018979
1000,19,4.202639920625819
1000,20,4.865475095240421
1000,21,4.589228833265908
1000,22,4.5494330281129525
1000,23,4.454809848233435
1000,24,5.454401740036747
1000,25,4.281525053013765
1000,26,4.851093681262336
1000,27,4.366529624129135
1000,28,4.126952708949103
1000,29,4.44176273056423
1000,30,4.549132341177072
1000,31,4.592974136028831
1000,32,4.700445786312489
1000,33,4.429524840905096
1000,34,4.954000628963116
1000,35,4.887210802312767
1000,36,4.735417561895974
1000,37,4.151671863712273
1000,38,4.501606996181956
1000,39,4.373028518296846
1000,40,4.368130970727692
1000,41,4.305255920523262
1000,42,3.916146937171307
1000,43,5.357017504353324
1000,44,4.7475830467332125
1000,45,4.551558779865592
1000,46,4.299304775830464
1000,47,4.290678620299763
1000,48,4.033348724623855
1000,49,4.554237922283342
1000,50,4.654422136605282
1000,51,4.22234728417177
1000,52,4.91838035360268
1000,53,4.05193389226503
1000,54,4.8885965199332295
